epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5143.37,1.66209,1.40198,0.01505,0.72015,0.64473,0.71441,0.38286,1.40673,1.33084,0.01596,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,5308.34,1.65772,1.40911,0.01522,0.7263,0.64365,0.70815,0.38652,1.39396,1.39616,0.01611,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,5472.45,1.64704,1.37341,0.01501,0.73556,0.65278,0.72651,0.40156,1.39317,1.19507,0.01565,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,5637.01,1.64004,1.38207,0.01487,0.74032,0.64525,0.72262,0.40001,1.37807,1.25157,0.01573,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,5803.51,1.64479,1.3627,0.01478,0.72493,0.65907,0.72787,0.40288,1.38704,1.14109,0.01581,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,5969.04,1.63778,1.35397,0.01482,0.71861,0.67861,0.7366,0.41127,1.3665,1.1836,0.01539,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,6133.48,1.63863,1.32484,0.01444,0.7425,0.66028,0.73551,0.40793,1.37982,1.13303,0.01556,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,6298.41,1.62193,1.32619,0.01466,0.73906,0.66615,0.73544,0.41066,1.37007,1.13984,0.01544,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,6463.01,1.61693,1.31815,0.01453,0.73531,0.67023,0.73693,0.41595,1.36263,1.12057,0.01542,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,6627.43,1.62246,1.30696,0.01438,0.75242,0.66999,0.74558,0.41578,1.36437,1.10804,0.01529,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,6791.3,1.60835,1.26609,0.01422,0.73017,0.68237,0.74527,0.41792,1.36343,1.10447,0.01543,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,6957.04,1.59423,1.29556,0.01423,0.7291,0.67796,0.7395,0.42107,1.34592,1.09538,0.01501,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,7122.71,1.60396,1.28483,0.01414,0.74592,0.67369,0.74432,0.4228,1.35301,1.10298,0.01513,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,7287.17,1.58487,1.25752,0.01407,0.74111,0.68431,0.74908,0.42294,1.34702,1.10222,0.01499,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,7451.5,1.5969,1.26276,0.01424,0.75442,0.68695,0.75348,0.42828,1.35102,1.07472,0.01519,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,7615.16,1.59315,1.24042,0.01387,0.76561,0.6795,0.76124,0.43109,1.35907,1.05711,0.01517,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,7778.51,1.56551,1.22516,0.01397,0.75864,0.67882,0.75824,0.42737,1.36065,1.07196,0.01522,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,7944.36,1.56568,1.21603,0.01367,0.75881,0.68574,0.75608,0.42737,1.35106,1.05715,0.01494,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,8108.31,1.56715,1.1878,0.01378,0.76728,0.68018,0.75434,0.4287,1.34351,1.04689,0.01488,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
