metric,before,after,delta
test/box_loss,1.8532,1.40803,-0.44517000000000007
test/cls_loss,68.97952,1.03909,-67.94042999999999
test/dfl_loss,0.02386,0.01631,-0.007549999999999998
metrics/precision(B),0.00104,0.77882,0.7777799999999999
metrics/recall(B),0.31513,0.69985,0.38471999999999995
metrics/mAP50(B),0.00235,0.7624,0.76005
metrics/mAP50-95(B),0.00085,0.43454,0.43368999999999996
