metric,before,after,delta
val/box_loss,1.76236,1.18905,-0.57331
val/cls_loss,1.74303,0.97666,-0.7663700000000001
val/dfl_loss,1.69534,1.24573,-0.44961000000000007
metrics/precision(B),0.63005,0.78357,0.15352
metrics/recall(B),0.49722,0.67898,0.18176000000000003
metrics/mAP50(B),0.51968,0.77122,0.25154
metrics/mAP50-95(B),0.26557,0.50623,0.24065999999999999
