epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,6496.79,1.43728,1.18333,1.40768,0.73809,0.66638,0.7317,0.40593,1.31569,1.68692,1.17315,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,6715.89,1.43168,1.17059,1.3983,0.74871,0.67462,0.74768,0.41391,1.29935,1.36366,1.16334,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,6933.45,1.41791,1.1547,1.39301,0.74865,0.67331,0.74551,0.41695,1.29001,1.43715,1.15161,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,7152.87,1.41221,1.14357,1.38334,0.75322,0.68192,0.7564,0.42125,1.28958,1.70254,1.15564,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,7381.9,1.40524,1.12249,1.37401,0.76711,0.67201,0.75612,0.42446,1.28937,1.38296,1.15089,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,7604.41,1.39909,1.11949,1.37045,0.75126,0.68026,0.75743,0.42813,1.27817,1.53554,1.14341,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,7820.19,1.3847,1.10192,1.36292,0.7572,0.6811,0.75886,0.42801,1.295,1.2253,1.15411,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,8041.4,1.3836,1.09561,1.36534,0.75488,0.69495,0.76122,0.42689,1.28828,1.34887,1.15727,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,8264.89,1.37437,1.08146,1.35741,0.75747,0.69665,0.76226,0.43012,1.26478,1.2484,1.13867,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,8483.2,1.37044,1.0772,1.35709,0.75629,0.69951,0.77043,0.43834,1.27839,1.24626,1.14413,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,8699.75,1.35912,1.0561,1.34408,0.76229,0.69899,0.7681,0.43506,1.26932,1.23847,1.14989,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,8914.69,1.3582,1.04779,1.34107,0.76859,0.69448,0.77146,0.43892,1.26746,1.33376,1.1421,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,9130.52,1.34704,1.02593,1.33209,0.76077,0.70627,0.77621,0.44254,1.25799,1.16003,1.13313,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,9344.49,1.3453,1.02483,1.32712,0.76704,0.69893,0.77531,0.44402,1.26389,1.08551,1.13538,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,9558.74,1.33512,1.01036,1.32383,0.76822,0.70338,0.77603,0.44132,1.27171,1.19461,1.14371,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,9772.47,1.33213,1.00546,1.3208,0.76943,0.71288,0.77734,0.44374,1.27365,1.10326,1.14324,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,9985.26,1.3205,0.99418,1.31487,0.77165,0.70573,0.77794,0.44797,1.26123,1.06038,1.13611,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,10198.4,1.31717,0.98342,1.31457,0.77472,0.7031,0.7795,0.44894,1.25361,1.08153,1.13293,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,10408.8,1.30188,0.96406,1.30053,0.78195,0.70827,0.78453,0.45263,1.25219,1.0827,1.13063,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,10616.1,1.2973,0.9608,1.30532,0.77671,0.70991,0.78305,0.45213,1.24938,1.09056,1.1297,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,10830.3,1.29683,0.94743,1.29263,0.79197,0.7044,0.78829,0.45652,1.24945,1.03357,1.13015,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,11053.4,1.27916,0.93303,1.28707,0.78136,0.71671,0.7885,0.45684,1.24517,1.00952,1.12642,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,11266.4,1.27842,0.9233,1.28091,0.78239,0.71191,0.78516,0.4572,1.24105,1.00618,1.12488,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,11476.1,1.26536,0.91626,1.27073,0.79462,0.70781,0.78994,0.45892,1.23683,0.99636,1.1266,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,11689.3,1.25826,0.90774,1.2721,0.79149,0.72027,0.79088,0.45982,1.23238,1.00324,1.12623,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,11901.3,1.25989,0.90381,1.26726,0.79272,0.71626,0.79005,0.46035,1.24433,0.98774,1.13296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,12112.3,1.24677,0.87367,1.25717,0.78572,0.72111,0.7891,0.45856,1.24751,0.98381,1.13521,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,12321.6,1.23439,0.87355,1.24968,0.77748,0.72865,0.78771,0.45946,1.24577,0.98666,1.13458,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,12530.7,1.23411,0.86874,1.2461,0.79006,0.71589,0.78773,0.45906,1.23227,0.98292,1.12631,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
