metric,before,after,delta
test/box_loss,1.99248,1.27905,-0.71343
test/cls_loss,93.39535,0.94476,-92.45058999999999
test/dfl_loss,1.75424,1.17241,-0.5818300000000001
metrics/precision(B),0.0249,0.79813,0.77323
metrics/recall(B),0.03244,0.71972,0.68728
metrics/mAP50(B),0.00485,0.7816,0.7767499999999999
metrics/mAP50-95(B),0.00219,0.44774,0.44555
