metric,before,after,delta
test/box_loss,1.89231,1.31301,-0.5792999999999999
test/cls_loss,74.42904,1.11714,-73.3119
test/dfl_loss,1.61033,1.19258,-0.41775000000000007
metrics/precision(B),0.00124,0.76946,0.76822
metrics/recall(B),0.37049,0.72586,0.35536999999999996
metrics/mAP50(B),0.00137,0.78058,0.7792100000000001
metrics/mAP50-95(B),0.00048,0.43873,0.43825000000000003
