epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,5463.15,1.47445,1.2656,1.42862,0.72786,0.6578,0.72244,0.3963,1.30311,2.85525,1.19923,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,5582.53,1.47882,1.26722,1.43096,0.72933,0.66148,0.73306,0.40289,1.30217,2.11605,1.20067,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,5701.34,1.4669,1.23826,1.42449,0.73709,0.67671,0.73668,0.40872,1.3095,2.18091,1.20518,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,5819.28,1.46339,1.22933,1.42292,0.73297,0.67294,0.73688,0.409,1.30746,2.20461,1.20122,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,5937.02,1.46348,1.21819,1.41955,0.74542,0.67349,0.73942,0.41556,1.28127,2.04796,1.18646,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,6056.4,1.45694,1.21604,1.41114,0.73391,0.68418,0.73999,0.41197,1.29033,2.71806,1.19087,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,6174.9,1.45081,1.19645,1.40712,0.74097,0.68457,0.74464,0.41748,1.28189,2.18824,1.17919,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,6293.78,1.44204,1.1943,1.40678,0.73823,0.68756,0.74495,0.41815,1.27716,1.88742,1.18033,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,6412.76,1.43174,1.17298,1.39577,0.75198,0.6792,0.74789,0.4191,1.27291,1.80447,1.1805,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,6530.84,1.43089,1.171,1.39905,0.75006,0.67968,0.7459,0.41737,1.27724,1.98301,1.18165,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,6648.17,1.42,1.14681,1.38916,0.75367,0.68599,0.74831,0.4202,1.27021,1.864,1.17942,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,6764.88,1.41584,1.14998,1.38522,0.74869,0.6913,0.75041,0.42196,1.26588,1.93008,1.17715,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,6884.33,1.40805,1.13545,1.37831,0.74648,0.69468,0.7537,0.42397,1.26508,1.90436,1.17562,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,7002.07,1.41212,1.1306,1.38087,0.75231,0.69276,0.75393,0.42506,1.25952,1.76418,1.17117,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,7119.5,1.39391,1.1129,1.36715,0.76108,0.69258,0.75738,0.4274,1.25387,1.75997,1.16577,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,7233.84,1.40122,1.11884,1.37121,0.76065,0.69032,0.75744,0.42874,1.25335,1.59001,1.16555,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,7352.66,1.38641,1.09463,1.36092,0.76122,0.68868,0.75758,0.42927,1.24532,1.53214,1.15933,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,7473.98,1.37838,1.09151,1.3578,0.7559,0.69378,0.75884,0.43085,1.24002,1.52627,1.15392,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,7602.62,1.37171,1.0894,1.3542,0.75137,0.69983,0.75901,0.43189,1.23604,1.47734,1.15195,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,7727.04,1.36849,1.06766,1.35337,0.75564,0.69995,0.76164,0.43294,1.23328,1.46804,1.15152,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,7853.3,1.36756,1.059,1.34837,0.75901,0.69681,0.76121,0.43406,1.23423,1.45149,1.15275,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,7977.53,1.3583,1.05344,1.34006,0.75734,0.70487,0.76402,0.43531,1.23342,1.41817,1.15292,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8099.89,1.36684,1.05738,1.34374,0.75299,0.70781,0.76441,0.43569,1.23146,1.40936,1.15231,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,8218.14,1.34651,1.04201,1.32987,0.75357,0.70916,0.76467,0.43719,1.22958,1.36833,1.15167,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,8344.91,1.33481,1.02095,1.32193,0.75453,0.70964,0.76537,0.43786,1.22816,1.34361,1.15134,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,8471.97,1.34282,1.04022,1.32785,0.76287,0.70577,0.76601,0.43887,1.22581,1.34109,1.15018,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,8599.66,1.32672,1.00605,1.31398,0.76238,0.70422,0.76619,0.43814,1.22633,1.31748,1.15121,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,8728.13,1.32875,0.99937,1.31591,0.75817,0.70708,0.76504,0.4385,1.2256,1.30993,1.15171,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,8851.86,1.31489,0.998,1.30709,0.75537,0.70765,0.76501,0.43872,1.22545,1.29824,1.15154,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,8979.1,1.31667,0.99012,1.30799,0.76453,0.70132,0.76551,0.43925,1.22643,1.28627,1.15199,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,9106.27,1.30169,0.96179,1.296,0.77102,0.69971,0.76659,0.43919,1.22524,1.27809,1.1512,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,141.098,1.29785,0.96972,1.29626,0.76924,0.70233,0.76655,0.43944,1.22533,1.2664,1.1513,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,257.881,1.30201,0.96855,1.30402,0.77067,0.70023,0.76702,0.43916,1.22532,1.26226,1.15153,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,372.651,1.30371,0.96554,1.29911,0.76832,0.70069,0.76748,0.4398,1.22554,1.26177,1.15145,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,492.497,1.3069,0.97751,1.30033,0.76729,0.70224,0.76777,0.44008,1.22413,1.26412,1.15059,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,612.746,1.29108,0.95551,1.29072,0.7675,0.70299,0.76763,0.44093,1.22463,1.25688,1.15077,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,734.319,1.27789,0.94528,1.28624,0.76775,0.70309,0.76885,0.44093,1.22468,1.24975,1.15088,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,854.836,1.28535,0.94938,1.28617,0.76566,0.70892,0.76953,0.44146,1.2257,1.24163,1.1516,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,975.871,1.26718,0.92136,1.27725,0.76559,0.71057,0.76907,0.44146,1.22563,1.23628,1.15157,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,1097.45,1.26538,0.91606,1.27517,0.76629,0.70717,0.76942,0.44197,1.22536,1.22757,1.15175,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,1218.89,1.2576,0.9185,1.27129,0.76558,0.7096,0.76944,0.44118,1.22472,1.22443,1.1515,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,1339.96,1.25192,0.90765,1.26196,0.76899,0.7085,0.76924,0.44149,1.22447,1.216,1.15171,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,1461.3,1.25044,0.89393,1.26137,0.77113,0.70854,0.77,0.44208,1.22431,1.20856,1.15184,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,1581.66,1.23918,0.89047,1.25673,0.76931,0.70941,0.76964,0.44221,1.22419,1.20098,1.15176,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,1702.91,1.23671,0.87984,1.25117,0.76959,0.70913,0.77026,0.44215,1.22409,1.19387,1.15183,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,1823.04,1.23206,0.87437,1.25237,0.77085,0.70881,0.77017,0.4423,1.22354,1.18678,1.1519,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,1944.03,1.22984,0.86575,1.24575,0.77004,0.7102,0.77023,0.44294,1.22367,1.1793,1.15198,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,2064.91,1.22557,0.87235,1.24651,0.77314,0.70613,0.77018,0.4425,1.22254,1.1742,1.15181,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,2186.46,1.22277,0.86049,1.24579,0.77353,0.7072,0.76961,0.44286,1.22253,1.16826,1.15196,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,2307.1,1.21592,0.85132,1.2396,0.77451,0.70587,0.77057,0.44334,1.22156,1.16256,1.15137,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,2428.21,1.20603,0.8399,1.22769,0.77546,0.70734,0.77111,0.44349,1.22167,1.15635,1.1514,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,2549.56,1.20383,0.84303,1.22912,0.77962,0.70672,0.77159,0.44352,1.22116,1.15353,1.15148,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,2672.3,1.19699,0.8409,1.22807,0.78111,0.70714,0.77175,0.44347,1.22087,1.14756,1.15183,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,2793.07,1.19692,0.82874,1.22442,0.78261,0.70699,0.77216,0.44402,1.22048,1.14405,1.15202,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,2919.9,1.18161,0.82196,1.21301,0.78507,0.70655,0.77226,0.44405,1.21981,1.14051,1.15148,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,296.756,1.18168,0.82974,1.22744,0.78476,0.7049,0.7719,0.44393,1.22014,1.13827,1.1517,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,452.7,1.18366,0.82725,1.22914,0.78294,0.70642,0.77159,0.44357,1.22,1.13579,1.15187,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,570.519,1.18898,0.82928,1.22812,0.77908,0.70782,0.77148,0.44376,1.21982,1.13542,1.15179,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,688.986,1.19506,0.83843,1.23228,0.78366,0.70554,0.77168,0.44338,1.21964,1.13447,1.15212,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,810.555,1.18439,0.826,1.22293,0.78065,0.70664,0.77117,0.44307,1.21996,1.13184,1.15235,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,932.227,1.17839,0.82366,1.22546,0.78675,0.7016,0.77103,0.44294,1.22035,1.13101,1.15339,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,1064.89,1.14887,0.70624,1.18824,0.78177,0.70657,0.77102,0.44274,1.22038,1.12852,1.15367,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,1183.45,1.13611,0.69539,1.18477,0.78208,0.70588,0.77065,0.44265,1.22101,1.12604,1.15419,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,1304.14,1.13809,0.6944,1.17854,0.78124,0.70577,0.7704,0.44223,1.22108,1.12284,1.15469,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,1425.18,1.12736,0.68379,1.17387,0.78187,0.70634,0.7705,0.44256,1.22135,1.11944,1.15523,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,1546.84,1.13204,0.68299,1.17428,0.77982,0.7087,0.77039,0.44226,1.2216,1.11624,1.15578,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,1668.63,1.1257,0.67505,1.17325,0.77917,0.71138,0.77069,0.44225,1.22166,1.11284,1.15592,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,1800.4,1.12566,0.67898,1.17151,0.77963,0.71142,0.77105,0.44272,1.22205,1.10924,1.15658,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,1938.91,1.12502,0.67413,1.1732,0.78028,0.71264,0.77118,0.44266,1.22174,1.10684,1.15692,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,2077.01,1.12346,0.67474,1.16977,0.78244,0.71142,0.77033,0.44229,1.22213,1.10495,1.15725,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,2206.01,1.12438,0.67523,1.17113,0.78182,0.71286,0.77084,0.44206,1.22229,1.10208,1.15786,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
